,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,is_organic
378,C(C(C1C(=C(C(=O)O1)O)O)O)O,Inactive,0,True
380,CCCNC(C)C(=O)NC1=CC=CC=C1C.Cl,Inactive,0,True
381,C(C(C(C([C@@H](C(=O)O)N)O)O)O)O,Inactive,0,True
385,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,Inactive,0,True
386,CCCN1C(=NC2=C(N=C(N=C21)C)NCCN(C)C)C3=CC=C(C=C3)F,Inactive,0,True
388,CC(=O)CCC1=CC=CC=C1,Inactive,0,True
398,CCCN1C(=NC2=C(N=C(N=C21)C)NC(C)CCCN(CC)CC)C3=CC=C(C=C3)F,Active,42,True
399,CCCCN1C2CCC1CC(C2)OC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl,Inactive,0,True
402,CC1=C2C(=C3C=CC(=O)C=C3N2)C=CN1.Cl,Active,40,True
408,C1=CC=C(C=C1)COC(=O)Cl,Inactive,0,True
409,COC1=C(C=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2)OC,Active,43,True
410,CCCN1C(=NC2=C(N=C(N=C21)C)NCCN3CCOCC3)C4=CC=C(C=C4)F,Active,42,True
415,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C.[Br-],Inactive,0,True
421,C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2,Inactive,0,True
422,COC1=CC2=C(C=C1)C(=O)C(=C(O2)C3=CC=CC=C3)OC,Active,43,True
426,CC(CCC=C(C)C)CCO,Inactive,0,True
427,COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,Inactive,0,True
428,CCCN1C(=NC2=C(N=C(N=C21)C)NCCCN3CCOCC3)C4=CC=C(C=C4)F,Active,44,True
435,C1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Inactive,0,True
438,CCCN1C(=NC2=C(N=C(N=C21)C)NCCCN(C)C)C3=CC=C(C=C3)F,Inactive,0,True
439,C1=CC=C(C=C1)/C=C/[N+](=O)[O-],Inactive,0,True
443,CC(=C)C1CC[C@]2(C1[C@H]3CCC4[C@]5(CCC(C(C5CC[C@@]4([C@]3(CC2)C)C)(C)C)O)C)CO,Inactive,0,True
445,CC(C)NC[C@H](COC1=CC=CC2=CC=CC=C21)O.Cl,Inactive,0,True
448,CC1CC([C@H](C(O1)OC2C(C[C@]3(CO3)C(=O)C([C@H](C(C(OC(=O)C([C@H](C2C)O[C@@H]4CC([C@H](C(O4)C)OC(=O)C)OC)C)C)C)OC(=O)C)C)C)OC(=O)C)N(C)C,Active,43,True
451,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],Inactive,0,True
467,COC1=C(C=C2C(=C1O)C3[C@@H]([C@H](C(C(O3)CO)O)O)OC2=O)O,Inactive,0,True
471,C[N+]1=CC=CC(=C1)OC(=O)N(C)C.[Br-],Inactive,0,True
476,CCCN1C(=NC2=C(N=C(N=C21)C)NCCCCN(CC)CC)C3=CC=C(C=C3)F,Active,42,True
483,C(CCl)OCOCCCl,Inactive,0,True
486,CCCN1C(=NC2=C(N=C(N=C21)C)NCCN3CCSCC3)C4=CC=C(C=C4)F,Active,41,True
494,CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O,Inactive,0,True
496,CCCN1C(=NC2=C(N=C(N=C21)C)NC3CCN(C3)CC4=CC=CC=C4)C5=CC=C(C=C5)F,Active,42,True
497,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(C(=O)O)N,Inactive,0,True
504,CC(CCC(=O)O)C1CCC2[C@]1(CCC3C2CC[C@H]4[C@]3(CCCC4)C)C,Inactive,0,True
513,C/C/1=C\CC(=C)[C@H]2CC(C2CC1)(C)C,Inactive,0,True
514,CC(CCl)OC(C)CCl,Inactive,0,True
516,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl,Inactive,0,True
518,CCCN1C(=NC2=C(N=C(N=C21)C)NC3CCN(CC3)CC4=CC=CC=C4)C5=CC=C(C=C5)F,Inactive,0,True
527,CC(C)CCCC(C)C1CCC2[C@]1(CCC3C2=CC[C@H]4[C@]3(CCC(C4)O)C)C,Inactive,0,True
530,CCCN1C(=NC2=C(N=C(N=C21)C)NCCN3CCCC3)C4=CC=C(C=C4)F,Inactive,0,True
