,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,is_organic
10595,CC1=CC(=CC2=C1C(=O)C=C(O2)C3=CC=CC=C3)OC,Active,42,True
10598,C1=CC=C(C=C1)COCC2=CC=CC=C2,Inactive,0,True
10600,CC(C)OC1=CC2=C(C=C1)C(=O)C=C(O2)C3=CC=CC=C3,Inactive,0,True
10609,COC(=O)CCCC[C@H]1[C@@H]2[C@H](CS1)NC(=O)N2,Inactive,0,True
10612,COC1=C(C(=C(C=C1)C(=O)O)O)OC,Inactive,0,True
10617,C1CNCC2=CC=CC=C21,Inactive,0,True
10627,CCC1[C@]([C@H]2C(C(C(C[C@]([C@@H](C([C@@H](C(C(=O)O1)C)O[C@H]3C[C@@](C(C(O3)C)O)(C)OC)C)O[C@H]4C(C(CC(O4)C)N(C)C)O)(C)O)C)NC(O2)COCCOC)C)(C)O,Inactive,0,True
10632,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C(C)O)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C(C)O.Cl.Cl,Inactive,0,True
10641,CSC(=NCCCC(C(=O)O)N)N,Inactive,0,True
10644,CN[C@@H](CC1=CNC2=CC=CC=C21)C(=O)O,Inactive,0,True
10648,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,Inactive,0,True
10652,CC1=C(C=CC(=C1)Cl)O,Inactive,0,True
10657,CCCCCC1C(C(OC(=O)[C@@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C,Active,43,True
10661,CC1=NC=C(C(=C1O)C=O)CO,Inactive,0,True
10667,CCC1=CC=CC=C1O,Inactive,0,True
10671,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl.Cl.Cl,Active,40,True
10672,CC[C@H](C)[C@@H](C(=O)O)NC(=O)OCC1C2=CC=CC=C2C3=CC=CC=C13,Active,40,True
10687,C1CCN2CC(CC[C@H]2C1)C3CCCCN3C=O,Inactive,0,True
10688,C1=CC(=CC(=C1)O)/C=C(\C#N)/C(=O)O,Inactive,0,True
10699,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,Inactive,0,True
10700,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],Inactive,0,True
10701,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,Inactive,0,True
10709,CC(=O)O.C1=CC(=CC=C1CC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(CCCCN)N)O,Inactive,0,True
10714,C(/C=C/CBr)Br,Inactive,0,True
10717,C(CC(=O)O)C(=O)CN.Cl,Inactive,0,True
10724,C1C[C@H]2CN3C(CCCC3=O)[C@H]4C2N(C1)CCC4,Inactive,0,True
10725,CC(C)CC(C(=O)NC(C)C(=O)O)N,Inactive,0,True
10729,CC(C)CCOCC(=O)OCC=C,Inactive,0,True
10737,C1=CC=C2C=C(C=CC2=C1)NC(=O)C(CC3=CN=CN3)N,Active,86,True
10742,CN1CCC2=CC(=C(C3=C2C1=C(C4=CC(=C(C=C43)OC)OC)C(=O)C5=CC=CC=C5)OC)OC,Active,86,True
10747,C1C(C(OC1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O,Inactive,0,True
10754,CC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(C(C)C)C(=O)O)NC(=O)C(F)(F)F,Inactive,0,True
10758,CN1CCC2=CC(=C(C3=C2C1=C(C4=CC(=C(C=C43)OC)OC)C=O)OC)OC,Active,64,True
10761,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],Inactive,0,True
10767,C1CC(C(CC1C(CBr)Br)Br)Br,Inactive,0,True
10774,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CCC=CC3)N)SC1)C(=O)O,Inactive,0,True
10777,CC1=C(C(=CC=C1)[N+](=O)[O-])C,Inactive,0,True
10778,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2O)O)O)O,Active,83,True
10782,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,Active,43,True
10786,C1CCN2CC3CC([C@H]2C1)CN4C3=CC=CC4=O,Inactive,0,True
10788,C[N+]1(C[C@H](C(C1)O)C(=O)[O-])C,Inactive,0,True
10790,CC1=C(C=C(C=C1)[N+](=O)[O-])C,Inactive,0,True
10798,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O[C@H]6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O,Active,43,True
10803,CC1C(CC2C1[C@@H](OC=C2C(=O)O)O[C@@H]3C(C(C(C(O3)CO)O)O)O)O,Inactive,0,True
10807,C=CC1CO1,Inactive,0,True
10819,CC(=O)/C(=C\C1=CC=CC=C1)/CC(=O)O,Inactive,0,True
10824,CCCCCCCCC1CO1,Inactive,0,True
10827,COC1=CC2=C(C(=O)CC(O2)C3=CC=CC=C3)C(=C1)OC,Active,82,True
10829,C[C@@]12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)OC,Inactive,0,True
10830,CCCCCCCCCCCCC1CO1,Inactive,0,True
10838,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C([C@@H](C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,Active,85,True
10844,CCCCCCCCCCCCCCC1CO1,Inactive,0,True
10847,C[C@]1(C2CC3C(C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O.Cl,Inactive,0,True
10856,C1=CC(=CC=C1CC(=O)C2=C(C=C(C=C2O)O)O)Cl,Active,84,True
10867,C/C(=C/CCl)/Cl,Inactive,0,True
10871,C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O.C1=CC(=CC(=C1)N)C(=C2C=CC(=N)C=C2)C3=CC(=CC=C3)N,Active,44,True
10879,CC(C)C(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N,Inactive,0,True
10881,C(C(CCl)O)Cl,Inactive,0,True
10892,C(CC(=O)NC(CCSC(CC(=O)O)C(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N,Inactive,0,True
10906,CC1CCC(CC2=C1CCC2C)C(C)(C)O,Inactive,0,True
10912,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,Active,41,True
10919,COC1=C(C=CC(=C1)NS(=O)(=O)C)CC2=C3C=CC=CC3=NC4=CC=CC=C42.Cl,Inactive,0,True
10933,CC1=C2CCC3C4CCC(=O)[C@]4(CCC3[C@@]2(CCC1=O)C)C,Active,44,True
10938,C/C=C\1/CC(=C)[C@@](C(=O)OCC2=CCN3[C@@H]2[C@@H](CC3)OC1=O)(C)O,Active,41,True
10939,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,Inactive,0,True
10954,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3,Inactive,0,True
10958,C1=CC=C(C=C1)SCCSC2=CC=CC=C2,Inactive,0,True
10970,CC1=C(C(CCC1=O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)CCC2(C)C)C)\C)\C)/C)/C,Inactive,0,True
10987,C1C(OC2=CC=CC=C2C1=O)C3=CC=C(C=C3)O,Active,41,True
10998,CC1=C(C(CC(C1=O)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)C(CC2(C)C)O)C)\C)\C)/C)/C,Inactive,0,True
11001,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC(=C(C=C43)OC)OC)O)OC,Active,83,True
11009,CC1=CC(NC2=CC=CC=C12)(C)C,Active,83,True
11012,C1=CN2C3C(C(C(O3)CO)O)OC2=NC1=N.Cl,Inactive,0,True
11020,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O,Inactive,0,True
11023,C(CCO)CO,Inactive,0,True
11034,C(C[C@@H](C(=O)O)N)CNC(=O)N,Inactive,0,True
11036,C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,Inactive,0,True
11050,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O,Inactive,0,True
11059,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,Inactive,0,True
11060,C1COC1,Inactive,0,True
11062,CC1C2CCC3[C@@]2(CCC4C3CC=C5[C@]4(CCC(C5)N(C)C)C)CN1C,Inactive,0,True
11065,CC1=CC(=O)[C@@H]2C[C@H]1C2(C)C,Inactive,0,True
11069,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N.C(=C\C(=O)O)\C(=O)O,Active,42,True
11080,CC1CC[C@]2(C([C@]3(CCC4C(C3O2)CCC5[C@]4(CCC(C5)O[C@@H]6C(C([C@H]([C@@H](O6)CO)O[C@H]7C([C@@H]([C@H](C(O7)CO)O)OC8[C@H]([C@@H](C(CO8)O)O)O[C@@H]9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1,Inactive,0,True
11081,C[C@H]1[C@H]2[C@@H]([C@H]([C@@H]3[C@@]2(CCC4C3CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5)O[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O)C)C)O)O[C@]11CCC(CO1)C,Inactive,0,True
11085,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,Inactive,0,True
11093,C1=C(NC=N1)C[C@@H](CO)N,Inactive,0,True
11096,C(CCCN)CCN,Inactive,0,True
11101,CC1=C2C=CC(=C2C=C(C=C1)C(C)C)C,Inactive,0,True
11107,C[C@@]12CCC(C1(C)C)CC2=O,Inactive,0,True
11108,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C=C3)OC)O,Active,82,True
11109,CC1C(C(C([C@@H](O1)OC2CC[C@]3(C4CC[C@@]5(C(CC[C@]5(C4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O)O,Inactive,0,True
11121,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CCC3C2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,Inactive,0,True
11130,CC1=CC(=C(C=C1)C)[N+](=O)[O-],Inactive,0,True
11133,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,Inactive,0,True
11134,C1CN=C(NC1C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)N/C(=C/NC(=O)N)/C(=O)N2)CNC(=O)CC(CCCN)N)CO)N)N.OS(=O)(=O)O,Inactive,0,True
11140,CC[C@H](CC[C@@H](C)C1CC[C@@H]2[C@@]1(CCC3C2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,Inactive,0,True
11146,C1C(O1)COCCCCOCC2CO2,Inactive,0,True
11153,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,Active,41,True
11158,CC1=C(C(=CC=C1)C)[N+](=O)[O-],Inactive,0,True
11166,C1[C@H]2C(COC2C3=CC4=C(C=C3)OCO4)C(O1)C5=CC6=C(C=C5)OCO6,Active,68,True
11175,C/C=C(/C)\C(=O)OC1C([C@]2(C(C[C@]3(C(=CCC4[C@@]3(CCC5[C@@]4(CCC([C@]5(C)CO)OC6[C@@H](C([C@@H](C(O6)C(=O)O)O[C@H]7C(C(C(C(O7)CO)O)O)O)O)O[C@H]8C(C(C(C(O8)CO)O)O)O)C)C)C2CC1(C)C)C)O)CO)OC(=O)C,Inactive,0,True
11190,C1CCC(CC1)N=C=NC2CCCCC2,Inactive,0,True
11195,C(C[C@H](C(=O)O)N)CN=C(N)N,Inactive,0,True
11202,CCOC(=O)OC(C)OC(=O)C1C(SC2N1C(=O)C2NC(=O)C(C3=CC=CC=C3)N)(C)C.Cl,Active,86,True
11205,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)[C@@](O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O,Active,88,True
11207,C(/C=C/Cl)Cl,Inactive,0,True
11213,CS(=O)CCC(C(=O)O)N,Inactive,0,True
11218,CCCCCC1C(CCC1=O)CC(=O)OC,Inactive,0,True
11230,C1=CC=C(C(=C1)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,Inactive,0,True
11232,CC(=CCC1=C2C(=C(C3=C1OC(C=C3)(C)C)OC(=O)C)C(=O)C(=C(O2)C4=CC=CC=C4)OC(=O)C)C,Active,62,True
11237,CC(C)CC(C)N,Inactive,0,True
11246,C1=CC(=CC=C1C[C@H](C(=O)O)N)O,Inactive,0,True
11252,CC1=CC(=CC(=C1)[N+](=O)[O-])C,Inactive,0,True
11260,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O)O)O)O,Inactive,0,True
11270,CC1=CC(=C(C=C1)[N+](=O)[O-])C,Inactive,0,True
11272,CCC(C(C1=CC(=C(C=C1)O)O)O)N.Cl,Inactive,0,True
11275,CCCCC(=O)O[C@]1(C(CC2[C@]1(CC([C@@]3(C2CCC4=CC(=O)C=C[C@]43C)F)O)C)C)C(=O)CO,Active,41,True
11281,CC1CCC2C13CC[C@](C(C3)C2(C)C)(C)O,Inactive,0,True
11289,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.OS(=O)(=O)O,Inactive,0,True
11291,CC1=C(C2=CC=CC=C2C=C1)[N+](=O)[O-],Inactive,0,True
11294,CCCCCCC=C,Inactive,0,True
11299,CCC(CC1=C(C(=C(C=C1I)I)N)I)C(=O)O,Inactive,0,True
11307,CCCCCC[N+](=O)[O-],Inactive,0,True
11315,CCC(C)C(=O)O[C@H]1C[C@H](C=C2C1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,Active,41,True
11319,CC1=C(SC=C1)/C=C/C2=NCCCN2C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,0,True
11327,C[C@@]12CCC(C(=C)C13C(O3)C(=O)OC2C4=COC=C4)C5(C=CC(=O)C(C5CC(=O)OC)(C)C)C,Active,85,True
11330,C[C@@H]1CC[C@@H]([C@@H](C1)O)C(C)C,Inactive,0,True
11338,CC1=C2C=CC3=CC=CC4=C3C2=C(C=C1)C=C4,Active,40,True
11345,CC(C)CC1=NC=CS1,Inactive,0,True
11348,C1CN(CCN1)C2=CC=CC(=C2)C(F)(F)F.Cl,Inactive,0,True
11350,CN1CCCN=C1COC(=O)C(C2CCCCC2)(C3=CC=CC=C3)O.Cl,Active,43,True
11377,CCCC=C,Inactive,0,True
11388,C[N+]1(CCCC1)CCCCC[N+]2(CCCC2)C.C(C(C(=O)[O-])O)(C(=O)O)O.C(C(C(=O)[O-])O)(C(=O)O)O,Inactive,0,True
11395,CCCCOCCOCCSC#N,Inactive,0,True
11400,C[C@@H](C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Inactive,0,True
11409,C1CN(CCC1O)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C#N,Inactive,0,True
11419,CCOC(=O)C1C(C1(C)C)C=C(C)C,Inactive,0,True
11424,CCC([N+](=O)[O-])Cl,Inactive,0,True
11432,CC(=CCC/C(=C/COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)/C)C,Active,88,True
11434,C/C=C(/C)\C(=O)OC1CC[C@@]2(C3[C@@]1(O[C@@]24C[C@]5(C6CN7CC(CCC7[C@]([C@@]6(C(C[C@]5(C4CC3)O)O)O)(C)O)C)O)O)C.OS(=O)(=O)O,Inactive,0,True
11437,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],Inactive,0,True
11443,C1C(C(C(C(C1N)O[C@H]2C(C(C(C(O2)CN)O)O)N)O[C@H]3C(C(C(O3)CO)O)O)O)N.OS(=O)(=O)O,Inactive,0,True
11445,COC1=CC=CC2=C1C(=O)CC(O2)C3=CC=CC=C3,Inactive,0,True
11447,CC1C=C(C(=O)[C@@]2(C1CC3[C@]4(C2C(=O)C(=C(C4CC(=O)O3)C)OC)C)C)OC,Inactive,0,True
11461,CC1=CC(=CC=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)Br,Active,82,True
11476,C1[C@@H](C([C@H](CC1(C(=O)O)O)O)O)O,Inactive,0,True
11480,CC1CCC[C@]2(C1=CC3C(C2)OC(=O)C3=C)C,Active,43,True
11485,CCCCC=C,Inactive,0,True
11489,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCN)CCCCNC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CSC(=N2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4,Inactive,0,True
11495,CN1CCC2=CC3=C(C=C2C1O)OCO3.Cl,Inactive,0,True
11503,C(CBr)Cl,Inactive,0,True
11508,CC1=C(C(C2=C(C1C(C)C)C(C(C2=O)O)O)O)C3=C(C(C4=C(C3O)C(=O)C(C4O)O)C(C)C)C,Inactive,0,True
11514,CC1C(C([C@@H](C(O1)OCC2C(C(C([C@H](O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,Inactive,0,True
11522,CC(=O)NC(CC(=O)O)C(=O)O,Inactive,0,True
11523,CCOC(=O)CCCCCCCCCCCCC1CCC=C1,Inactive,0,True
11524,C/C=C\1/CN2CC[C@@]34[C@H]2C[C@@H]1C(=C3NC5=CC=CC=C45)C=O,Inactive,0,True
11536,CC(C)CCCC(C)C1CCC\2C1(CCC/C2=C\C=C\3/CC(CCC3=C)O)C,Active,40,True
11541,CC1(C=CC2=C(C3=C(C=C2O1)OC4COC5=CC(=C(C=C5C4C3=O)OC)OC)O)C,Active,41,True
11551,C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,Inactive,0,True
11553,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,Inactive,0,True
11568,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3.OP(=O)(O)O,Inactive,0,True
11572,CC(CCC=C(C)C)C1CC[C@@]2([C@]1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C,Active,41,True
11582,C=CC1=C(N2C(C(C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)SC1)C(=O)O,Inactive,0,True
11586,COC1=CC2=C(C=C1)C(=O)C=CO2,Inactive,0,True
11593,C[C@@]12CCC(C[C@H]1CCC3C2CC[C@]4(C3CCC4=O)C)Cl,Inactive,0,True
11596,CCC(C)(C)C(=O)O,Inactive,0,True
11607,C[C@@]12CCC(CC1CCC3=CC=CC=C23)OC(=O)C4=CC=CC=C4,Inactive,0,True
11611,CCCCC(CC)CNCC(CC)CCCC,Inactive,0,True
11615,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,Inactive,0,True
11621,CCC(C)(C)C,Inactive,0,True
11628,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.OS(=O)(=O)O,Inactive,0,True
11629,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O,Inactive,0,True
11633,C(C[N+](=O)[O-])C(=O)OCC1C([C@@H](C(C(O1)O)OC(=O)CC[N+](=O)[O-])OC(=O)CC[N+](=O)[O-])OC(=O)CC[N+](=O)[O-],Inactive,0,True
11638,CCC(C(C)(C)C)O,Inactive,0,True
11639,C[C@@]12CCC(C[C@H]1CCC3=CC=CC=C23)O,Inactive,0,True
11641,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2)C6(C(C5)C(C)(C)C)C(C(=O)OC6O4)O)O,Inactive,0,True
11646,C[C@H]1C(OC(=O)CC(CC(CCC(C(CC(C[C@]2(CC(C(C(O2)CC(/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(C1O)C)OC3C(C(C(C(O3)C)O)N)O)C(=O)O)O)O)O)O)O)O)O)C,Inactive,0,True
11650,C(C(CO)(CBr)CBr)O,Inactive,0,True
11653,CCOC(=O)C(=O)C1(C(C(=O)C2=C(O1)C=C(C=C2OC)OC)C3=CC=CC=C3)C(=O)OCC,Inactive,0,True
11655,CCCCCN=C(N)N/N=C/C1=CNC2=C1C=C(C=C2)OC.C(=C\C(=O)O)\C(=O)O,Inactive,0,True
11665,C1=CC(=C(C=C1Cl)Cl)C(=O)CCl,Inactive,0,True
11670,COC1=CC(=C(C(=C1)O)C(=O)O)O,Inactive,0,True
11671,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)OC[C@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)O)O)O)O)O)O)O,Inactive,0,True
11678,CC(C)(Cl)Cl,Inactive,0,True
11684,CC(=O)C1=CCC2[C@@]1(C(=O)CC3C2CC[C@@H]4[C@]3(CCC(C4)OC(=O)C)C)C,Inactive,0,True
11686,CC1([C@H](N2[C@@H](S1)C(C2=O)NC(=O)[C@H](C3=CC=C(C=C3)O)N)C(=O)O)C,Inactive,0,True
11695,CCCC(C(=O)OCC)NC(C)C(=O)N1C2CCCCC2CC1C(=O)O.CC(C)(C)N,Inactive,0,True
11696,C1=CC=C(C=C1)C(=O)OCC(COC(=O)C2=CC=CC=C2)(COC(=O)C3=CC=CC=C3)COC(=O)C4=CC=CC=C4,Inactive,0,True
11700,CCOC1=CC=C(C=C1)C(=O)C2=C(C(=C(C=C2)O)O)O,Inactive,0,True
11713,C1C(C(C(C(C(CO1)C2=C(C3=C(C=C2O)OC4=CC=CC=C4C3=O)O)O)O)O)CO,Inactive,0,True
11714,CC(=O)C1=CC(=C(C(=C1)OC)O)OC,Inactive,0,True
11723,CN(C)CCOC(=O)C=C,Inactive,0,True
11758,CC(=CCC/C(=C\COC1=C2C=CC(=O)OC2=CC3=C1C=CO3)/C)C,Active,87,True
11767,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3.Cl,Active,41,True
11769,CC(C)C(C)/C=C/C(C)C1CCC\2C1(CCC/C2=C\C=C\3/CC(CCC3=C)O)C,Active,40,True
11773,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.Cl,Inactive,0,True
11774,COC1=CC=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O,Active,40,True
11777,CC(C)C(C)C,Inactive,0,True
11787,COC1=C(C2=C(CC(CO2)C3=C(C(=C(C=C3)OC)OC)OC)C=C1)OC,Inactive,0,True
11790,CC1=C(C(=CC=C1)[N+](=O)[O-])[N+](=O)[O-],Inactive,0,True
11798,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O.Cl,Inactive,0,True
11800,C[C@]12CCC(=O)C=C1CCC3=C2C=C(C=C3)O,Active,40,True
11801,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)[O-])O)O)N,Inactive,0,True
11804,CC1=C(C(=CC=C1)N)C,Inactive,0,True
11811,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N,Inactive,0,True
11815,COC1=C(C(=C(C=C1)C(=O)C2=CC=CC=C2)O)O,Inactive,0,True
11821,CC(C)COC(=O)COC1=CC(=C(C=C1Cl)Cl)Cl,Inactive,0,True
11831,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,Inactive,0,True
11843,CCN(CC)CC1=C(C=C(C=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O.Cl.Cl,Inactive,0,True
11853,CCCCCCCCCCCCCC1=CC=CO1,Inactive,0,True
11862,C[C@H]1[C@@H]2[C@H](CC(=C3C([C@H]2OC1=O)C(=CC3=O)C)C)O,Inactive,0,True
11869,C1C[C@@H](O[C@@H]1CO)N2C=NC3=C(N=CN=C32)N,Inactive,0,True
11871,CC(=O)C1=C(C=C(C=C1OC)OC)O,Active,40,True
11879,CC[C@@H]1[C@H](N2[C@H]3C[C@@]45[C@H](C2CC1C3[C@H]4O)N(C6=CC=CC=C56)C)O,Inactive,0,True
11884,CC1=C(C(=CC=C1)O)C,Inactive,0,True
11886,COC1=CC2=C(C=C1)C=C3C4=CC(=C(C=C4OCC3(O2)O)OC)OC,Active,43,True
11888,CCCCCC1C(CCC1=O)CC(=O)O,Inactive,0,True
11892,CCN1C[C@@]2(CC[C@@H]([C@]34[C@H]1[C@H](CC23)[C@]5(C[C@@H]([C@H]6CC4C5[C@H]6O)OC)O)O)C,Inactive,0,True
11897,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,Inactive,0,True
11899,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,Inactive,0,True
11902,C(C(C(=O)O)Br)Br,Inactive,0,True
11904,CC(=O)OCC(CC(=O)CCCCCCCCCCCC#C)O,Inactive,0,True
11916,C(C(CCl)Cl)O,Inactive,0,True
11929,C=C(CCl)Cl,Inactive,0,True
11931,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,Active,42,True
11935,C=CCCCCCCCCCCCC1=CC=CO1,Inactive,0,True
11937,C[C@@H]1C(=O)O[C@@H]2[C@]1([C@@]34C(=O)O[C@H]5[C@]3([C@@H]2O)[C@]6([C@H](C(=O)O[C@H]6O4)O)C(C5)C(C)(C)C)O,Inactive,0,True
11957,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,Inactive,0,True
11964,C[C@@]1(C2C[C@H]3C(C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,Active,41,True
11977,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3(C2CC=C4[C@]3(CC[C@@]5(C4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,Inactive,0,True
